@RELATION snake_game_train

@ATTRIBUTE snake_length NUMERIC
@ATTRIBUTE snake_x {WEST, EAST}
@ATTRIBUTE snake_y {NORTH, SOUTH}
@ATTRIBUTE food_x {WEST, EAST}
@ATTRIBUTE food_y {NORTH, SOUTH}
@ATTRIBUTE rel_pos {0, 1, 2, 3}
@ATTRIBUTE score NUMERIC
@ATTRIBUTE direction {NORTH, SOUTH, WEST, EAST}

@DATA
7,WEST,NORTH,WEST,NORTH,0,223,WEST
9,EAST,NORTH,EAST,NORTH,1,425,NORTH
41,EAST,SOUTH,WEST,SOUTH,2,2306,EAST
27,WEST,NORTH,EAST,SOUTH,3,1549,SOUTH
49,EAST,SOUTH,EAST,SOUTH,2,2700,SOUTH
37,EAST,NORTH,WEST,NORTH,0,2213,WEST
12,WEST,SOUTH,WEST,NORTH,0,552,WEST
14,EAST,SOUTH,EAST,NORTH,0,714,WEST
35,EAST,SOUTH,EAST,SOUTH,3,2052,SOUTH
8,WEST,NORTH,WEST,SOUTH,2,311,SOUTH
20,WEST,SOUTH,EAST,SOUTH,3,1165,SOUTH
20,EAST,NORTH,WEST,NORTH,0,1143,NORTH
27,WEST,NORTH,EAST,SOUTH,3,1547,SOUTH
3,WEST,NORTH,EAST,NORTH,3,-23,SOUTH
35,EAST,SOUTH,EAST,SOUTH,2,2031,SOUTH
5,WEST,NORTH,WEST,NORTH,1,143,NORTH
18,WEST,NORTH,WEST,SOUTH,2,976,SOUTH
16,WEST,NORTH,WEST,NORTH,0,775,WEST
19,WEST,NORTH,EAST,SOUTH,3,1068,SOUTH
22,EAST,SOUTH,WEST,SOUTH,2,1243,WEST
22,WEST,SOUTH,WEST,SOUTH,2,1314,WEST
30,WEST,SOUTH,WEST,SOUTH,0,1737,WEST
18,WEST,NORTH,WEST,NORTH,1,982,NORTH
20,WEST,NORTH,WEST,NORTH,0,1132,WEST
6,WEST,SOUTH,WEST,SOUTH,1,204,EAST
31,WEST,NORTH,WEST,NORTH,2,1858,WEST
13,WEST,NORTH,EAST,SOUTH,3,683,SOUTH
26,EAST,NORTH,EAST,NORTH,1,1445,EAST
